,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
339,,,,,,,,,,,AKT phosphorylates targets in the cytosol,Defective CYP11A1 causes AICSR,Formation of ATP by chemiosmotic coupling,RHO GTPase cycle,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Pentose phosphate pathway,Aspartate and asparagine metabolism,,,N/A
340,,,,,,,,,,,Constitutive Signaling by AKT1 E17K in Cancer,Electron transport from NADPH to Ferredoxin,TYSND1 cleaves peroxisomal proteins,Signaling by Rho GTPases,RND1 GTPase cycle,Sphingolipid de novo biosynthesis,Retinoid metabolism and transport,,,N/A
341,,,,,,,,,,,PI3K/AKT Signaling in Cancer,C-type lectin receptors (CLRs),Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Resolution of AP sites via the single-nucleotide replacement pathway,RND2 GTPase cycle,Sphingolipid metabolism,Metabolism of fat-soluble vitamins,,,N/A
342,,,,,,,,,,,PIP3 activates AKT signaling,NRAGE signals death through JNK,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Hedgehog 'off' state,Sphingolipid de novo biosynthesis,Scavenging by Class A Receptors,Visual phototransduction,,,N/A
343,,,,,,,,,,,Ubiquinol biosynthesis,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Signaling by Hedgehog,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Binding and Uptake of Ligands by Scavenger Receptors,Sensory Perception,,,N/A
344,,,,,,,,,,,Coenzyme A biosynthesis,Beta oxidation of butanoyl-CoA to acetyl-CoA,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Urea cycle,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Synthesis of PA,Sodium/Calcium exchangers,,,N/A
345,,,,,,,,,,,Acyl chain remodeling of CL,Nuclear events stimulated by ALK signaling in cancer,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Activation of BIM and translocation to mitochondria ,Triglyceride metabolism,Defective CYP27B1 causes VDDR1A,Interconversion of nucleotide di- and triphosphates,,,N/A
346,,,,,,,,,,,DNA Repair,Signaling by ALK fusions and activated point mutants,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,RUNX3 regulates BCL2L11 (BIM) transcription,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Vitamins,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,,,N/A
347,,,,,,,,,,,Adaptive Immune System,Signaling by ALK in cancer,Acyl chain remodeling of CL,FLT3 Signaling,Coenzyme A biosynthesis,Vitamin D (calciferol) metabolism,Metabolism of nucleotides,,,N/A
348,,,,,,,,,,,Beta oxidation of myristoyl-CoA to lauroyl-CoA,RAS processing,Glycine degradation,Transcriptional regulation by RUNX3,Ketone body metabolism,Vitamin B2 (riboflavin) metabolism,Selenoamino acid metabolism,,,N/A
349,,,,,,,,,,,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Transport of inorganic cations/anions and amino acids/oligopeptides,Vitamin B2 (riboflavin) metabolism,Factors involved in megakaryocyte development and platelet production,Proline catabolism,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Miro GTPase Cycle,,,N/A
350,,,,,,,,,,,Resolution of Abasic Sites (AP sites),Coenzyme A biosynthesis,Reversible hydration of carbon dioxide,Peptide ligand-binding receptors,Trafficking of GluR2-containing AMPA receptors,RUNX1 regulates estrogen receptor mediated transcription,RHOT2 GTPase cycle,,,N/A
351,,,,,,,,,,,Base Excision Repair,Factors involved in megakaryocyte development and platelet production,Regulation of FOXO transcriptional activity by acetylation,Class A/1 (Rhodopsin-like receptors),Trafficking of AMPA receptors,Transcriptional regulation by RUNX1,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,,N/A
352,,,,,,,,,,,Activation of NOXA and translocation to mitochondria,Mitochondrial tRNA aminoacylation,Oncogenic MAPK signaling,GPCR ligand binding,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",Reversible hydration of carbon dioxide,Cleavage of the damaged pyrimidine ,,,N/A
353,,,,,,,,,,,RAS processing,tRNA Aminoacylation,GPCR downstream signalling,Synthesis of PC,Cell surface interactions at the vascular wall,Alpha-oxidation of phytanate,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,,,N/A
354,,,,,,,,,,,STAT5 activation downstream of FLT3 ITD mutants,Defective RIPK1-mediated regulated necrosis,tRNA modification in the mitochondrion,Linoleic acid (LA) metabolism,Regulation by c-FLIP,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Depyrimidination,,,N/A
355,,,,,,,,,,,Signaling by FLT3 ITD and TKD mutants,CASP8 activity is inhibited,tRNA processing,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Dimerization of procaspase-8,RND1 GTPase cycle,Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function,,,N/A
356,,,,,,,,,,,FLT3 signaling in disease,CLEC7A/inflammasome pathway,Metabolism of RNA,PCNA-Dependent Long Patch Base Excision Repair,Caspase activation via Death Receptors in the presence of ligand,RND2 GTPase cycle,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,,,N/A
357,,,,,,,,,,,Retinoid metabolism and transport,CLEC7A (Dectin-1) signaling,VEGFA-VEGFR2 Pathway,POLB-Dependent Long Patch Base Excision Repair,TLR3-mediated TICAM1-dependent programmed cell death,Urea cycle,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,,,N/A
358,,,,,,,,,,,Metabolism of fat-soluble vitamins,Regulation of necroptotic cell death,Signaling by VEGF,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,TNFR1-induced proapoptotic signaling,Defective ABCD1 causes ALD,Diseases of DNA Double-Strand Break Repair,,,N/A
359,,,,,,,,,,,Visual phototransduction,STAT5 activation downstream of FLT3 ITD mutants,Signaling by Retinoic Acid,Defective CYP27B1 causes VDDR1A,TRIF-mediated programmed cell death,ABC transporters in lipid homeostasis,G2/M DNA damage checkpoint,,,N/A
360,,,,,,,,,,,Sensory Perception,Signaling by FLT3 ITD and TKD mutants,Synthesis of PE,Vitamins,Microbial modulation of RIPK1-mediated regulated necrosis,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Presynaptic phase of homologous DNA pairing and strand exchange,,,N/A
361,,,,,,,,,,,Synthesis of PE,FLT3 signaling in disease,Metabolism of serotonin,Vitamin D (calciferol) metabolism,TRAIL  signaling,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Homologous DNA Pairing and Strand Exchange,,,N/A
362,,,,,,,,,,,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Organic anion transporters,Serotonin clearance from the synaptic cleft,Ubiquinol biosynthesis,FasL/ CD95L signaling,Cholesterol biosynthesis,G2/M Checkpoints,,,N/A
363,,,,,,,,,,,Amine Oxidase reactions,Defective Base Excision Repair Associated with OGG1,Cytosolic tRNA aminoacylation,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,RIPK1-mediated regulated necrosis,Circadian Clock,Regulation of TP53 Activity through Phosphorylation,,,N/A
364,,,,,,,,,,,Antigen processing: Ubiquitination & Proteasome degradation,Defective OGG1 Substrate Binding,Ketone body metabolism,Selenoamino acid metabolism,Toll Like Receptor 3 (TLR3) Cascade,Conjugation of phenylacetate with glutamine,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),,,N/A
365,,,,,,,,,,,Class I MHC mediated antigen processing & presentation,Defective OGG1 Localization,Utilization of Ketone Bodies,RAF/MAP kinase cascade,TRIF(TICAM1)-mediated TLR4 signaling ,Factors involved in megakaryocyte development and platelet production,Resolution of D-loop Structures through Holliday Junction Intermediates,,,N/A
366,,,,,,,,,,,Aspartate and asparagine metabolism,Defective OGG1 Substrate Processing,Synthesis of Ketone Bodies,MAPK1/MAPK3 signaling,MyD88-independent TLR4 cascade ,Degradation of GABA,Resolution of D-Loop Structures,,,N/A
367,,,,,,,,,,,Alpha-oxidation of phytanate,Cleavage of the damaged pyrimidine ,Signaling by BRAF and RAF1 fusions,Retinoid metabolism and transport,C-type lectin receptors (CLRs),"GABA synthesis, release, reuptake and degradation",Processing of DNA double-strand break ends,,,N/A
368,,,,,,,,,,,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,Activation and oligomerization of BAK protein,Metabolism of fat-soluble vitamins,Regulation of TNFR1 signaling,Vitamins B6 activation to pyridoxal phosphate,Meiotic recombination,,,N/A
369,,,,,,,,,,,RND1 GTPase cycle,Depyrimidination,Defective MMAB causes methylmalonic aciduria type cblB,Visual phototransduction,TNF signaling,Phenylalanine and tyrosine metabolism,HDR through Single Strand Annealing (SSA),,,N/A
370,,,,,,,,,,,RND2 GTPase cycle,Miro GTPase Cycle,Defects in cobalamin (B12) metabolism,Sensory Perception,Toll Like Receptor 4 (TLR4) Cascade,Intra-Golgi traffic,HDR through Homologous Recombination (HRR),,,N/A
371,,,,,,,,,,,Resolution of AP sites via the single-nucleotide replacement pathway,Pexophagy,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Defects in cobalamin (B12) metabolism,Toll-like Receptor Cascades,Intra-Golgi and retrograde Golgi-to-ER traffic,Cell Cycle Checkpoints,,,N/A
372,,,,,,,,,,,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Vitamin B1 (thiamin) metabolism,Activation of AKT2,"Cobalamin (Cbl, vitamin B12) transport and metabolism",G alpha (i) signalling events,C-type lectin receptors (CLRs),Homology Directed Repair,,,N/A
373,,,,,,,,,,,PCNA-Dependent Long Patch Base Excision Repair,Aflatoxin activation and detoxification,CD28 dependent PI3K/Akt signaling,Sphingolipid de novo biosynthesis,Vitamin B1 (thiamin) metabolism,Cell Cycle,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),,,N/A
374,,,,,,,,,,,POLB-Dependent Long Patch Base Excision Repair,Defects in cobalamin (B12) metabolism,PI3K Cascade,Sphingolipid metabolism,Opioid Signalling,Adaptive Immune System,Meiosis,,,N/A
375,,,,,,,,,,,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,"Cobalamin (Cbl, vitamin B12) transport and metabolism",IRS-mediated signalling,Endogenous sterols,Synthesis of Ketone Bodies,Pyrimidine catabolism,DNA Double-Strand Break Repair,,,N/A
376,,,,,,,,,,,Hedgehog 'off' state,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,IRS-related events triggered by IGF1R,Oncogenic MAPK signaling,DARPP-32 events,Nucleobase catabolism,Regulation of TP53 Activity,,,N/A
377,,,,,,,,,,,Signaling by Hedgehog,Cytosolic tRNA aminoacylation,IGF1R signaling cascade,RAS processing,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Resolution of Abasic Sites (AP sites),Reproduction,,,N/A
378,,,,,,,,,,,Displacement of DNA glycosylase by APEX1,Regulation of FOXO transcriptional activity by acetylation,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),STAT5 activation downstream of FLT3 ITD mutants,VEGFA-VEGFR2 Pathway,Base Excision Repair,Beta-oxidation of pristanoyl-CoA,,,N/A
379,,,,,,,,,,,G alpha (i) signalling events,rRNA processing in the mitochondrion,VEGFR2 mediated vascular permeability,Signaling by FLT3 ITD and TKD mutants,Signaling by VEGF,DNA Repair,Conjugation of salicylate with glycine,,,N/A
380,,,,,,,,,,,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",rRNA processing,Insulin receptor signalling cascade,FLT3 signaling in disease,rRNA processing in the mitochondrion,Phenylalanine metabolism,Amino Acid conjugation,,,N/A
381,,,,,,,,,,,eNOS activation,Defective CYP27A1 causes CTX,Signaling by Insulin receptor,Alpha-oxidation of phytanate,tRNA processing in the mitochondrion,Loss of phosphorylation of MECP2 at T308,Conjugation of carboxylic acids,,,N/A
382,,,,,,,,,,,Metabolism of nitric oxide: NOS3 activation and regulation,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Negative regulation of the PI3K/AKT network,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,rRNA processing,PKA-mediated phosphorylation of key metabolic factors,Conjugation of benzoate with glycine,,,N/A
383,,,,,,,,,,,Negative regulators of DDX58/IFIH1 signaling,Aspartate and asparagine metabolism,CD28 co-stimulation,RND1 GTPase cycle,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Disorders of Nervous System Development,Metabolism of folate and pterines,,,N/A
384,,,,,,,,,,,Defects in cobalamin (B12) metabolism,Defective Base Excision Repair Associated with MUTYH,Costimulation by the CD28 family,RND2 GTPase cycle,Defective ABCD1 causes ALD,Disorders of Developmental Biology,Defective ABCD1 causes ALD,,,N/A
385,,,,,,,,,,,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Defective MUTYH substrate processing,Defective MAOA causes BRUNS,Regulation of HSF1-mediated heat shock response,ABC transporters in lipid homeostasis,Pervasive developmental disorders,ABC transporters in lipid homeostasis,,,N/A
386,,,,,,,,,,,Interferon alpha/beta signaling,Defective MUTYH substrate binding,Norepinephrine Neurotransmitter Release Cycle,Cellular response to heat stress,Hedgehog 'off' state,Loss of function of MECP2 in Rett syndrome,Beta-oxidation of very long chain fatty acids,,,N/A
387,,,,,,,,,,,Interferon Signaling,Propionyl-CoA catabolism,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Regulation of FOXO transcriptional activity by acetylation,Signaling by Hedgehog,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",ABC transporter disorders,,,N/A
388,,,,,,,,,,,Nucleobase biosynthesis,Oncogenic MAPK signaling,Aspartate and asparagine metabolism,Protein methylation,Cell Cycle,PKA activation in glucagon signalling,Disorders of transmembrane transporters,,,N/A
389,,,,,,,,,,,Reversible hydration of carbon dioxide,Ketone body metabolism,Organic anion transporters,Triglyceride metabolism,Aggrephagy,HDL assembly,,,,N/A
390,,,,,,,,,,,Pyrimidine biosynthesis,Utilization of Ketone Bodies,Transport of inorganic cations/anions and amino acids/oligopeptides,Triglyceride catabolism,Utilization of Ketone Bodies,PKA activation,,,,N/A
391,,,,,,,,,,,Defective MMAB causes methylmalonic aciduria type cblB,Synthesis of Ketone Bodies,Metabolism of ingested MeSeO2H into MeSeH,Neurotransmitter receptors and postsynaptic signal transmission,Essential pentosuria,CREB1 phosphorylation through the activation of Adenylate Cyclase,,,,N/A
392,,,,,,,,,,,Formation of ATP by chemiosmotic coupling,Metabolism of folate and pterines,Uptake and function of diphtheria toxin,Diseases of carbohydrate metabolism,Diseases of carbohydrate metabolism,PKA-mediated phosphorylation of CREB,,,,N/A
393,,,,,,,,,,,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,RHOT2 GTPase cycle,PPARA activates gene expression,Propionyl-CoA catabolism,Metabolism of folate and pterines,AURKA Activation by TPX2,,,,N/A
394,,,,,,,,,,,Synthesis of PC,Protein repair,Regulation of lipid metabolism by PPARalpha,Signaling by BRAF and RAF1 fusions,Synthesis of PA,Glucagon signaling in metabolic regulation,,,,N/A
395,,,,,,,,,,,PPARA activates gene expression,Cell Cycle,Uptake and actions of bacterial toxins,Interferon alpha/beta signaling,Triglyceride biosynthesis,Recruitment of NuMA to mitotic centrosomes,,,,N/A
396,,,,,,,,,,,Regulation of lipid metabolism by PPARalpha,Defective MMAA causes methylmalonic aciduria type cblA,Sphingolipid de novo biosynthesis,Interferon Signaling,Josephin domain DUBs,ROBO receptors bind AKAP5,,,,N/A
397,,,,,,,,,,,Circadian Clock,Defective MUT causes methylmalonic aciduria mut type,Sphingolipid metabolism,Loss of phosphorylation of MECP2 at T308,Amyloid fiber formation,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,,,N/A
398,,,,,,,,,,,Receptor Mediated Mitophagy,RHOT1 GTPase cycle,tRNA modification in the nucleus and cytosol,PKA-mediated phosphorylation of key metabolic factors,Displacement of DNA glycosylase by APEX1,Vasopressin regulates renal water homeostasis via Aquaporins,,,,N/A
399,,,,,,,,,,,RHOC GTPase cycle,Formation of ATP by chemiosmotic coupling,HDR through MMEJ (alt-NHEJ),Disorders of Nervous System Development,CLEC7A (Dectin-1) signaling,Rap1 signalling,,,,N/A
400,,,,,,,,,,,RHOA GTPase cycle,Signaling by Retinoic Acid,Gap-filling DNA repair synthesis and ligation in GG-NER,Disorders of Developmental Biology,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,Plasma lipoprotein assembly,,,,N/A
401,,,,,,,,,,,Metabolism of serotonin,Activation of BIM and translocation to mitochondria ,Gap-filling DNA repair synthesis and ligation in TC-NER,Pervasive developmental disorders,tRNA modification in the nucleus and cytosol,Aquaporin-mediated transport,,,,N/A
402,,,,,,,,,,,Defective MAOA causes BRUNS,RUNX3 regulates BCL2L11 (BIM) transcription,Transcription-Coupled Nucleotide Excision Repair (TC-NER),Loss of function of MECP2 in Rett syndrome,Defective RIPK1-mediated regulated necrosis,Glycolysis,,,,N/A
403,,,,,,,,,,,Serotonin clearance from the synaptic cleft,FLT3 Signaling,Global Genome Nucleotide Excision Repair (GG-NER),"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",CASP8 activity is inhibited,Degradation of GLI1 by the proteasome,,,,N/A
404,,,,,,,,,,,Norepinephrine Neurotransmitter Release Cycle,Transcriptional regulation by RUNX3,Nucleotide Excision Repair,PKA activation in glucagon signalling,CLEC7A/inflammasome pathway,RET signaling,,,,N/A
405,,,,,,,,,,,tRNA processing,tRNA processing in the mitochondrion,Homology Directed Repair,HDL assembly,Regulation of necroptotic cell death,Recruitment of mitotic centrosome proteins and complexes,,,,N/A
406,,,,,,,,,,,tRNA modification in the nucleus and cytosol,Urea cycle,DNA Double-Strand Break Repair,PKA activation,DAG and IP3 signaling,Loss of Nlp from mitotic centrosomes,,,,N/A
407,,,,,,,,,,,Metabolism of RNA,RHOG GTPase cycle,"Base-Excision Repair, AP Site Formation",CREB1 phosphorylation through the activation of Adenylate Cyclase,PLC beta mediated events,Anchoring of the basal body to the plasma membrane,,,,N/A
408,,,,,,,,,,,Ion homeostasis,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Cleavage of the damaged pyrimidine ,PKA-mediated phosphorylation of CREB,FCGR3A-mediated IL10 synthesis,Loss of proteins required for interphase microtubule organization from the centrosome,,,,N/A
409,,,,,,,,,,,Cardiac conduction,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,AURKA Activation by TPX2,G-protein mediated events,Calmodulin induced events,,,,N/A
410,,,,,,,,,,,DARPP-32 events,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Depyrimidination,Glucagon signaling in metabolic regulation,Regulation of insulin secretion,Centrosome maturation,,,,N/A
411,,,,,,,,,,,Muscle contraction,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Carnitine metabolism,Recruitment of NuMA to mitotic centrosomes,Leishmania parasite growth and survival,CaM pathway,,,,N/A
412,,,,,,,,,,,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Interferon alpha/beta signaling,cGMP effects,ROBO receptors bind AKAP5,Anti-inflammatory response favouring Leishmania parasite infection,Degradation of GLI2 by the proteasome,,,,N/A
413,,,,,,,,,,,Opioid Signalling,Interferon Signaling,Nitric oxide stimulates guanylate cyclase,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Leishmania infection,GLI3 is processed to GLI3R by the proteasome,,,,N/A
414,,,,,,,,,,,Formyl peptide receptors bind formyl peptides and many other ligands,Miscellaneous transport and binding events,G alpha (s) signalling events,Vasopressin regulates renal water homeostasis via Aquaporins,Retinoid metabolism and transport,Ca-dependent events,,,,N/A
415,,,,,,,,,,,Factors involved in megakaryocyte development and platelet production,Phenylalanine and tyrosine metabolism,Platelet homeostasis,Rap1 signalling,Metabolism of fat-soluble vitamins,CD209 (DC-SIGN) signaling,,,,N/A
416,,,,,,,,,,,Cytosolic tRNA aminoacylation,RAF activation,Alpha-oxidation of phytanate,Plasma lipoprotein assembly,Visual phototransduction,DAG and IP3 signaling,,,,N/A
417,,,,,,,,,,,RORA activates gene expression,Signaling downstream of RAS mutants,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Aquaporin-mediated transport,Sensory Perception,ADORA2B mediated anti-inflammatory cytokines production,,,,N/A
418,,,,,,,,,,,Diseases of DNA repair,Paradoxical activation of RAF signaling by kinase inactive BRAF,RND1 GTPase cycle,Glycolysis,Interferon alpha/beta signaling,Hedgehog 'off' state,,,,N/A
419,,,,,,,,,,,Cholesterol biosynthesis,Signaling by moderate kinase activity BRAF mutants,RND2 GTPase cycle,Degradation of GLI1 by the proteasome,Interferon Signaling,PLC beta mediated events,,,,N/A
420,,,,,,,,,,,Vitamin B1 (thiamin) metabolism,Signaling by RAS mutants,RHOH GTPase cycle,RET signaling,Phenylalanine and tyrosine metabolism,FCGR3A-mediated IL10 synthesis,,,,N/A
421,,,,,,,,,,,Loss of phosphorylation of MECP2 at T308,Defective MMAB causes methylmalonic aciduria type cblB,DARPP-32 events,Recruitment of mitotic centrosome proteins and complexes,Phenylalanine metabolism,G-protein mediated events,,,,N/A
422,,,,,,,,,,,PKA-mediated phosphorylation of key metabolic factors,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),"Interleukin-3, Interleukin-5 and GM-CSF signaling",Loss of Nlp from mitotic centrosomes,Loss of phosphorylation of MECP2 at T308,Mitotic Prometaphase,,,,N/A
423,,,,,,,,,,,Disorders of Nervous System Development,Biosynthesis of maresins,Opioid Signalling,Anchoring of the basal body to the plasma membrane,PKA-mediated phosphorylation of key metabolic factors,Post NMDA receptor activation events,,,,N/A
424,,,,,,,,,,,Disorders of Developmental Biology,Phenylalanine metabolism,G alpha (i) signalling events,Loss of proteins required for interphase microtubule organization from the centrosome,Disorders of Nervous System Development,Regulation of insulin secretion,,,,N/A
425,,,,,,,,,,,Pervasive developmental disorders,Receptor Mediated Mitophagy,RHOC GTPase cycle,Calmodulin induced events,Disorders of Developmental Biology,"Plasma lipoprotein assembly, remodeling, and clearance",,,,N/A
426,,,,,,,,,,,Loss of function of MECP2 in Rett syndrome,Telomere Extension By Telomerase,RHOA GTPase cycle,Centrosome maturation,Pervasive developmental disorders,Regulation of PLK1 Activity at G2/M Transition,,,,N/A
427,,,,,,,,,,,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",Extension of Telomeres,RHOT1 GTPase cycle,CaM pathway,Loss of function of MECP2 in Rett syndrome,Leishmania parasite growth and survival,,,,N/A
428,,,,,,,,,,,PKA activation in glucagon signalling,Telomere Maintenance,Synthesis of PC,Degradation of GLI2 by the proteasome,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",Anti-inflammatory response favouring Leishmania parasite infection,,,,N/A
429,,,,,,,,,,,HDL assembly,Chromosome Maintenance,Pexophagy,GLI3 is processed to GLI3R by the proteasome,PKA activation in glucagon signalling,Signaling by Hedgehog,,,,N/A
430,,,,,,,,,,,PKA activation,Reversible hydration of carbon dioxide,Triglyceride catabolism,Ca-dependent events,HDL assembly,Cilium Assembly,,,,N/A
431,,,,,,,,,,,CREB1 phosphorylation through the activation of Adenylate Cyclase,DARPP-32 events,rRNA processing in the mitochondrion,CD209 (DC-SIGN) signaling,PKA activation,Activation of NMDA receptors and postsynaptic events,,,,N/A
432,,,,,,,,,,,Triglyceride metabolism,"Interleukin-3, Interleukin-5 and GM-CSF signaling",tRNA processing in the mitochondrion,DAG and IP3 signaling,CREB1 phosphorylation through the activation of Adenylate Cyclase,Signaling by ROBO receptors,,,,N/A
433,,,,,,,,,,,PKA-mediated phosphorylation of CREB,Opioid Signalling,rRNA processing,ADORA2B mediated anti-inflammatory cytokines production,PKA-mediated phosphorylation of CREB,G2/M Transition,,,,N/A
434,,,,,,,,,,,Triglyceride catabolism,G alpha (i) signalling events,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,PLC beta mediated events,Triglyceride catabolism,Mitotic G2-G2/M phases,,,,N/A
435,,,,,,,,,,,AURKA Activation by TPX2,Cholesterol biosynthesis,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,FCGR3A-mediated IL10 synthesis,AURKA Activation by TPX2,MAPK6/MAPK4 signaling,,,,N/A
436,,,,,,,,,,,Glucagon signaling in metabolic regulation,rRNA modification in the mitochondrion,Regulation of TP53 Activity through Methylation,G-protein mediated events,Glucagon signaling in metabolic regulation,Leishmania infection,,,,N/A
437,,,,,,,,,,,Recruitment of NuMA to mitotic centrosomes,Circadian Clock,Regulation of TP53 Activity,Mitotic Prometaphase,Recruitment of NuMA to mitotic centrosomes,"Cell Cycle, Mitotic",,,,N/A
438,,,,,,,,,,,ROBO receptors bind AKAP5,Cytosolic iron-sulfur cluster assembly,Degradation of GABA,Post NMDA receptor activation events,ROBO receptors bind AKAP5,VEGFA-VEGFR2 Pathway,,,,N/A
439,,,,,,,,,,,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Retinoid metabolism and transport,"GABA synthesis, release, reuptake and degradation",Regulation of insulin secretion,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Regulation of MECP2 expression and activity,,,,N/A
440,,,,,,,,,,,Vasopressin regulates renal water homeostasis via Aquaporins,Metabolism of fat-soluble vitamins,Acyl chain remodelling of PE,"Plasma lipoprotein assembly, remodeling, and clearance",Vasopressin regulates renal water homeostasis via Aquaporins,Signaling by VEGF,,,,N/A
441,,,,,,,,,,,Rap1 signalling,Visual phototransduction,Acyl chain remodelling of PC,Regulation of PLK1 Activity at G2/M Transition,Rap1 signalling,M Phase,,,,N/A
442,,,,,,,,,,,Plasma lipoprotein assembly,Sensory Perception,Aflatoxin activation and detoxification,Leishmania parasite growth and survival,Plasma lipoprotein assembly,Developmental Biology,,,,N/A
443,,,,,,,,,,,Aquaporin-mediated transport,RAC2 GTPase cycle,RAF activation,Anti-inflammatory response favouring Leishmania parasite infection,Aquaporin-mediated transport,Axon guidance,,,,N/A
444,,,,,,,,,,,Glycolysis,Hedgehog 'off' state,Signaling downstream of RAS mutants,Cilium Assembly,Glycolysis,Nervous system development,,,,N/A
445,,,,,,,,,,,Degradation of GLI1 by the proteasome,Signaling by Hedgehog,Paradoxical activation of RAF signaling by kinase inactive BRAF,Activation of NMDA receptors and postsynaptic events,Degradation of GLI1 by the proteasome,Transcriptional Regulation by MECP2,,,,N/A
446,,,,,,,,,,,RET signaling,Neurotransmitter receptors and postsynaptic signal transmission,Signaling by moderate kinase activity BRAF mutants,Signaling by ROBO receptors,RET signaling,Miscellaneous transport and binding events,,,,N/A
447,,,,,,,,,,,Recruitment of mitotic centrosome proteins and complexes,Signaling by BRAF and RAF1 fusions,Signaling by RAS mutants,G2/M Transition,Recruitment of mitotic centrosome proteins and complexes,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",,,,N/A
448,,,,,,,,,,,Loss of Nlp from mitotic centrosomes,Loss of phosphorylation of MECP2 at T308,Loss of phosphorylation of MECP2 at T308,Mitotic G2-G2/M phases,Loss of Nlp from mitotic centrosomes,Triglyceride biosynthesis,,,,N/A
449,,,,,,,,,,,Anchoring of the basal body to the plasma membrane,PKA-mediated phosphorylation of key metabolic factors,PKA-mediated phosphorylation of key metabolic factors,MAPK6/MAPK4 signaling,Anchoring of the basal body to the plasma membrane,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,,,,N/A
450,,,,,,,,,,,Loss of proteins required for interphase microtubule organization from the centrosome,Disorders of Nervous System Development,Disorders of Nervous System Development,Leishmania infection,Loss of proteins required for interphase microtubule organization from the centrosome,Displacement of DNA glycosylase by APEX1,,,,N/A
